一中街,Yizhong St.
一心一路,Yixin 1st Rd.
一心二路,Yixin 2nd Rd.
一心北街,Yixin N. St.
一心市場,Yixin Market
一心西街,Yixin W. St.
一心東街,Yixin E. St.
一心南街,Yixin S. St.
一心街,Yixin St.
一心新村,Yixinxincun
一心路,Yixin Rd.
一市場,1st Market
一甲路,Yijia Rd.
一成街,Yicheng St.
一江街,Yijiang St.
一坑,Yikeng
一坑路,Yikeng Rd.
一村巷,Yicun Ln.
一秀,Yixiu
一流街,Yiliu St.
一致街,Yizhi St.
一部路,Yibu Rd.
一結路,Yijie Rd.
一新一巷,Yixin 1st Ln.
一新一街,Yixin 1st St.
一新二巷,Yixin 2nd Ln.
一新二街,Yixin 2nd St.
一壽街,Yishou St.
一德南路,Yide S. Rd.
一德街,Yide St.
一德路,Yide Rd.
丁子蘭坑,Dingzilankeng
丁台路,Dingtai Rd.
丁厝街,Dingcuo St.
七十份,Qishifen
七中路,Qizhong Rd.
七分坑,Qifenkeng
七戶巷,Qihu Ln.
七古林,Qigulin
七甲一街,Qijia 1st St.
七甲二街,Qijia 2nd St.
七甲三街,Qijia 3rd St.
七甲五街,Qijia 5th St.
七甲街,Qijia St.
七份路,Qifen Rd.
七圳路,Qizun Rd.
七成街,Qicheng St.
七里橋,Qili Bridge
七股,Qigu
七星村河背,"Hebei, Qixing Vil."
七星巷,Qixing Ln.
七星街,Qixing St.
七星路,Qixing Rd.
七星嶺,Qixingling
七座,Qizuo
七崙仔,Qilunzai
七張路,Qizhang Rd.
七結路,Qijie Rd.
七結路名進巷,"Mingjin Ln., Qijie Rd."
七雄街,Qixiong St.
七塊厝,Qikuaicuo
七塊路,Qikuai Rd.
七聖街,Qisheng St.
七號巷,Qihao Ln.
七嘉路,Qijia Rd.
七福新村,Qifuxincun
七寮,Qiliao
七寮路,Qiliao Rd.
七賢一街,Qixian 1st St.
七賢一路,Qixian 1st Rd.
七賢二街,Qixian 2nd St.
七賢二路,Qixian 2nd Rd.
七賢三路,Qixian 3rd Rd.
七賢南路,Qixian S. Rd.
七賢街,Qixian St.
七賢路,Qixian Rd.
九大路,Jiuda Rd.
九大路河濱一巷,"Hebin 1st Ln., Jiuda Rd."
九大路河濱二巷,"Hebin 2nd Ln., Jiuda Rd."
九分一路,Jiufen 1st Rd.
九分二路,Jiufen 2nd Rd.
九分三路,Jiufen 3rd Rd.
九分子,Jiufenzi
九分街,Jiufen St.
九分路,Jiufen Rd.
九斗,Jiudou
九甲一巷,Jiujia 1st Ln.
九甲一路,Jiujia 1st Rd.
九甲二巷,Jiujia 2nd Ln.
九甲二路,Jiujia 2nd Rd.
九甲三路,Jiujia 3rd Rd.
九甲五路,Jiujia 5th Rd.
九甲六路,Jiujia 6th Rd.
九甲七路,Jiujia 7th Rd.
九甲巷,Jiujia Ln.
九甲路,Jiujia Rd.
九份,Jiufen
九份路,Jiufen Rd.
九份寮,Jiufenliao
九如一街,Jiuru 1st St.
九如一路,Jiuru 1st Rd.
九如二街,Jiuru 2nd St.
九如二路,Jiuru 2nd Rd.
九如三街,Jiuru 3rd St.
九如三路,Jiuru 3rd Rd.
九如四路,Jiuru 4th Rd.
九如街,Jiuru St.
九如新村,Jiuruxincun
九如路,Jiuru Rd.
九如路１段,"Sec. 1, Jiuru Rd."
九如路２段,"Sec. 2, Jiuru Rd."
九如路３段,"Sec. 3, Jiuru Rd."
九成街,Jiucheng St.
九曲路,Jiuqu Rd.
九曲路北極巷,"Beiji Ln., Jiuqu Rd."
九江街,Jiujiang St.
九車籠,Jiuchelong
九里路,Jiuli Rd.
九和一街,Jiuhe 1st St.
九和二街,Jiuhe 2nd St.
九和三街,Jiuhe 3rd St.
九和五街,Jiuhe 5th St.
九和六街,Jiuhe 6th St.
九和路,Jiuhe Rd.
九明街,Jiuming St.
九東路,Jiudong Rd.
九重橋,Jiuchong Bridge
九座寮,Jiuzuoliao
九清街,Jiuqing St.
九棚路,Jiupeng Rd.
九湖,Jiuhu
九隆,Jiulong
九寮子埔,Jiuliaozipu
九層林巷,Jiucenglin Ln.
九層嶺,Jiucengling
九德街,Jiude St.
九龍一街,Jiulong 1st St.
九龍二街,Jiulong 2nd St.
九龍三街,Jiulong 3rd St.
九龍六街,Jiulong 6th St.
九龍東街,Jiulong E. St.
九龍街,Jiulong St.
九龍路,Jiulong Rd.
九龍橫巷,Jiulong Side Ln.
九讚頭,Jiuzantou
九芎坑,Jiuqiongkeng
九芎坪,Jiuqiongping
九芎林,Jiuqionglin
九芎根,Jiuqionggen
九芎湖,Jiuqionghu
九芎街,Jiuqiong St.
九芎路,Jiuqiong Rd.
九芎橋路,Jiuqiongqiao Rd.
二十分,Ershifen
二十份,Ershifen
二十張路,Ershizhang Rd.
二十四份,Ershisifen
二仁路１段,"Sec. 1, Erren Rd."
二仁路２段,"Sec. 2, Erren Rd."
二王路,Erwang Rd.
二市場,2nd Market
二本松,Erbensong
二甲,Erjia
二甲路,Erjia Rd.
二甲路中心巷,"Zhongxin Ln., Erjia Rd."
二甲路光照巷,"Guangzhao Ln., Erjia Rd."
二甲路佳美巷,"Jiamei Ln., Erjia Rd."
二份街,Erfen St.
二圳路,Erzun Rd.
二成街,Ercheng St.
二行一路,Erxing 1st Rd.
二坑,Erkeng
二和街,Erhe St.
二坪,Erping
二坪仔,Erpingzai
二坪巷,Erping Ln.
二坪頂,Erpingding
二坪路,Erping Rd.
二坡,Erpo
二房,Erfang
二抱路１段,"Sec. 1, Erbao Rd."
二抱路２段,"Sec. 2, Erbao Rd."
二抱路３段,"Sec. 3, Erbao Rd."
二抱路４段,"Sec. 4, Erbao Rd."
二林巷,Erlin Ln.
二油路,Eryou Rd.
二空路,Erkong Rd.
二城巷,Ercheng Ln.
二城路,Ercheng Rd.
二美街,Ermei St.
二苓路,Erling Rd.
二重港,Erchonggang
二重溝,Erchonggou
二重溪,Erchongxi
二埔,Erpu
二崁,Erkan
二崁一路,Erkan 1st Rd.
二崁路,Erkan Rd.
二格路,Erge Rd.
二高路,Ergao Rd.
二部路,Erbu Rd.
二湖,Erhu
二湖路,Erhu Rd.
二結路,Erjie Rd.
二溪路,Erxi Rd.
二溪路１段,"Sec. 1, Erxi Rd."
二溪路２段,"Sec. 2, Erxi Rd."
二溪路２段北勢一巷,"Beishi 1st Ln., Sec. 2, Erxi Rd."
二溪路２段北勢二巷,"Beishi 2nd Ln., Sec. 2, Erxi Rd."
二溪路２段北勢三巷,"Beishi 3rd Ln., Sec. 2, Erxi Rd."
二溪路２段北勢四巷,"Beishi 4th Ln., Sec. 2, Erxi Rd."
二溪路２段車店東巷,"Chedian E. Ln., Sec. 2, Erxi Rd."
二溪路２段橋北巷,"Qiaobei Ln., Sec. 2, Erxi Rd."
二溪路２段橋南巷,"Qiaonan Ln., Sec. 2, Erxi Rd."
二溪路３段,"Sec. 3, Erxi Rd."
二溪路６段,"Sec. 6, Erxi Rd."
二溪路７段,"Sec. 7, Erxi Rd."
二溪路大突巷,"Datu Ln., Erxi Rd."
二溪路田中巷,"Tianzhong Ln., Erxi Rd."
二溪路草１段,"Cao Sec. 1, Erxi Rd."
二溪路湖西巷,"Huxi Ln., Erxi Rd."
二萬平,Erwanping
