一心里,Yixin Vil.
一甲里,Yijia Vil.
一村巷,Yicun Ln.
一新一巷,Yixin 1st Ln.
一新二巷,Yixin 2nd Ln.
一新里,Yixin Vil.
一德里,Yide Vil.
一橫一巷,Yiheng 1st Ln.
一橫巷,1st Side Ln.
丁台里,Dingtai Vil.
七戶巷,Qihu Ln.
七支巷,Qizhi Ln.
七甲里,Qijia Vil.
七佳村,Qijia Vil.
七股里,Qigu Vil.
七星村,Qixing Vil.
七星里,Qixing Vil.
七星巷,Qixing Ln.
七座里,Qizuo Vil.
七張里,Qizhang Vil.
七結里,Qijie Vil.
七結巷,Qijie Ln.
七塊村,Qikuai Vil.
七號巷,Qihao Ln.
七嘉村,Qijia Vil.
七賢村,Qixian Vil.
七賢里,Qixian Vil.
九斗里,Jiudou Vil.
九甲一巷,Jiujia 1st Ln.
九甲二巷,Jiujia 2nd Ln.
九甲巷,Jiujia Ln.
九如里,Jiuru Vil.
九如巷,Jiuru Ln.
九曲里,Jiuqu Vil.
九芎村,Jiuqiong Vil.
九芎里,Jiuqiong Vil.
九房里,Jiufang Vil.
九房巷,Jiufang Ln.
九明村,Jiuming Vil.
九清村,Jiuqing Vil.
九棚村,Jiupeng Vil.
九湖村,Jiuhu Vil.
九隆里,Jiulong Vil.
九塊村,Jiukuai Vil.
九塊里,Jiukuai Vil.
九層坪巷,Jiucengping Ln.
九層林巷,Jiucenglin Ln.
九德里,Jiude Vil.
九龍里,Jiulong Vil.
九龍橫巷,Jiulong Side Ln.
二水村,Ershui Vil.
二王里,Erwang Vil.
二甲里,Erjia Vil.
二行里,Erxing Vil.
二和里,Erhe Vil.
二坪巷,Erping Ln.
二林巷,Erlin Ln.
二城里,Ercheng Vil.
二城巷,Ercheng Ln.
二苓里,Erling Vil.
二重村,Erchong Vil.
二重里,Erchong Vil.
二崁村,Erkan Vil.
二崙村,Erlun Vil.
二港村,Ergang Vil.
二湖村,Erhu Vil.
二結村,Erjie Vil.
二溪里,Erxi Vil.
二聖一巷,Ersheng 1st Ln.
二聖二巷,Ersheng 2nd Ln.
二聖三巷,Ersheng 3rd Ln.
二寮里,Erliao Vil.
二橋里,Erqiao Vil.
二龍村,Erlong Vil.
二鎮里,Erzhen Vil.
二鬮里,Erjiu Vil.
人和村,Renhe Vil.
人和里,Renhe Vil.
人和巷,Renhe Ln.
入船里,Ruchuan Vil.
八中里,Bazhong Vil.
八斗里,Badou Vil.
八仙村,Baxian Vil.
八仙里,Baxian Vil.
八甲里,Bajia Vil.
八西里,Baxi Vil.
八卦村,Bagua Vil.
八卦里,Bagua Vil.
八南里,Banan Vil.
八翁里,Baweng Vil.
八堵里,Badu Vil.
八張里,Bazhang Vil.
八張巷,Bazhang Ln.
八連里,Balian Vil.
八勢里,Bashi Vil.
八爺里,Baye Vil.
八號巷,Bahao Ln.
八德里,Bade Vil.
八德巷,Bade Ln.
八德橫巷,Bade Side Ln.
八賢里,Baxian Vil.
八寶村,Babao Vil.
力行三巷,Lixing 3rd Ln.
力行村,Lixing Vil.
力行里,Lixing Vil.
力行巷,Lixing Ln.
力行橫巷,Lixing Side Ln.
力里村,Lili Vil.
力社村,Lishe Vil.
十三里,13th Vil.
十三股巷,Shisangu Ln.
十分里,Shifen Vil.
十文巷,Shiwen Ln.
十甲里,Shijia Vil.
十甲東巷,Shijia E. Ln.
十甲巷,Shijia Ln.
十份里,Shifen Vil.
十全里,Shiquan Vil.
十字村,Shizi Vil.
十股巷,Shigu Ln.
十股寮巷,Shiguliao Ln.
十美里,Shimei Vil.
十張仔巷,Shizhangzai Ln.
十興里,Shixing Vil.
三叉巷,Sancha Ln.
三山一巷,Sanshan 1st Ln.
三山二巷,Sanshan 2nd Ln.
三山三巷,Sanshan 3rd Ln.
三山四巷,Sanshan 4th Ln.
三山里,Sanshan Vil.
三川里,Sanchuan Vil.
三元里,Sanyuan Vil.
三戶巷,Sanhu Ln.
三水里,Sanshui Vil.
三水源南巷,Sanshuiyuan S. Ln.
三仙里,Sanxian Vil.
三奶里,Sannai Vil.
三平里,Sanping Vil.
三民一巷,Sanmin 1st Ln.
三民二巷,Sanmin 2nd Ln.
三民市場一巷,Sanmin Market 1st Ln.
三民市場二巷,Sanmin Market 1st Ln.
三民市場三巷,Sanmin Market 1st Ln.
三民西巷,Sanmin W. Ln.
三民村,Sanmin Vil.
三民里,Sanmin Vil.
三民巷,Sanmin Ln.
三永巷,Sanyong Ln.
三玉里,Sanyu Vil.
三生里,Sansheng Vil.
三甲里,Sanjia Vil.
三甲巷,Sanjia Ln.
三石里,Sanshi Vil.
三光里,Sanguang Vil.
三光巷,Sanguang Ln.
三共里,Sangong Vil.
三合村,Sanhe Vil.
三合里,Sanhe Vil.
三合巷,Sanhe Ln.
三吉里,Sanji Vil.
三吉巷,Sanji Ln.
三地村,Sandi Vil.
三圳村,Sanzun Vil.
三多市場巷,Sanduo Market Ln.
三多里,Sanduo Vil.
三多巷,Sanduo Ln.
三安里,San’an Vil.
三成村,Sancheng Vil.
三西巷,Sanxi Ln.
三坑里,Sankeng Vil.
三村里,Sancun Vil.
三村巷,Sancun Ln.
三汴村,Sanbian Vil.
三角村,Sanjiao Vil.
三角里,Sanjiao Vil.
三角巷,Sanjiao Ln.
三里巷,Sanli Ln.
三協里,Sanxie Vil.
三和一巷,Sanhe 1st Ln.
三和二巷,Sanhe 2nd Ln.
三和村,Sanhe Vil.
三和里,Sanhe Vil.
三和巷,Sanhe Ln.
三奇村,Sanqi Vil.
三姓村,Sanxing Vil.
三姓巷,Sanxing Ln.
三東巷,Sandong Ln.
三林里,Sanlin Vil.
三股里,Sangu Vil.
三舍里,Sanshe Vil.
三門巷,Sanmen Ln.
三信里,Sanxin Vil.
三城巷,Sancheng Ln.
三星一巷,Sanxing 1st Ln.
三星二巷,Sanxing 2nd Ln.
三星里,Sanxing Vil.
三春村,Sanchun Vil.
三泉巷,Sanquan Ln.
三界村,Sanjie Vil.
三界里,Sanjie Vil.
三省村,Sansheng Vil.
三苓里,Sanling Vil.
三重里,Sanchong Vil.
三厝西二巷,Sancuo W. 2nd Ln.
三厝里,Sancuo Vil.
三厝東一巷,Sancuo E. 1st Ln.
三埔里,Sanpu Vil.
三家村,Sanjia Vil.
三峰村,Sanfeng Vil.
三峽里,Sanxia Vil.
三崁里,Sankan Vil.
三座巷,Sanzuo Ln.
三桃巷,Santao Ln.
三崙村,Sanlun Vil.
三張里,Sanzhang Vil.
三條村,Santiao Vil.
三條里,Santiao Vil.
三條巷,Santiao Ln.
三犁里,Sanli Vil.
三盛村,Sansheng Vil.
三部村,Sanbu Vil.
三鹿里,Sanlu Vil.
三港里,Sangang Vil.
三湖村,Sanhu Vil.
三湖里,Sanhu Vil.
三結村,Sanjie Vil.
三華巷,Sanhua Ln.
三貂里,Sandiao Vil.
三進六巷,Sanjin 6th Ln.
三進四巷,Sanjin 4th Ln.
三間村,Sanjian Vil.
三隆里,Sanlong Vil.
三塊村,Sankuai Vil.
三塊巷,Sankuai Ln.
三愛里,San’ai Vil.
三爺里,Sanye Vil.
三義村,Sanyi Vil.
三義里,Sanyi Vil.
三義巷,Sanyi Ln.
三聖巷,Sansheng Ln.
三榮里,Sanrong Vil.
三福里,Sanfu Vil.
三鳳九巷,Sanfeng 9th Ln.
三鳳十一巷,Sanfeng 11th Ln.
三鳳十二巷,Sanfeng 12th Ln.
三層村,Sanceng Vil.
三層巷,Sanceng Ln.
三德里,Sande Vil.
三慶里,Sanqing Vil.
三潭巷,Santan Ln.
三橋里,Sanqiao Vil.
三興村,Sanxing Vil.
三興里,Sanxing Vil.
三興巷,Sanxing Ln.
三龍里,Sanlong Vil.
三點山巷,Sandianshan Ln.
三豐村,Sanfeng Vil.
三鎮村,Sanzhen Vil.
三灣村,Sanwan Vil.
上口巷,Shangkou Ln.
上大里,Shangda Vil.
上山村,Shangshan Vil.
上天里,Shangtian Vil.
上四村,Shang 4th Vil.
上平里,Shangping Vil.
上田里,Shangtian Vil.
上石北二巷,Shangshi N. 2nd Ln.
上石北三巷,Shangshi N. 3rd Ln.
上石北五巷,Shangshi N. 5th Ln.
上石北六巷,Shangshi N. 6th Ln.
上石里,Shangshi Vil.
上石南二巷,Shangshi S. 2nd Ln.
上石南八巷,Shangshi S. 8th Ln.
上石南十巷,Shangshi S. 10th Ln.
上石南三巷,Shangshi S. 3rd Ln.
上石南六巷,Shangshi S. 6th Ln.
上石嵙巷,Shangshike Ln.
上安村,Shang’an Vil.
上安里,Shang’an Vil.
上庄巷,Shangzhuang Ln.
上竹里,Shangzhu Vil.
上竹巷,Shangzhu Ln.
上坑村,Shangkeng Vil.
上岐村,Shangqi Vil.
上村村,Shangcun Vil.
上坪里,Shangping Vil.
上林村,Shanglin Vil.
上林里,Shanglin Vil.
上前巷,Shangqian Ln.
上城里,Shangcheng Vil.
上洲里,Shangzhou Vil.
上苗里,Shangmiao Vil.
上厝巷,Shangcuo Ln.
上埔里,Shangpu Vil.
上海巷,Shanghai Ln.
上埤巷,Shangpi Ln.
上崙里,Shanglun Vil.
上湖里,Shanghu Vil.
上華里,Shanghua Vil.
上雅里,Shangya Vil.
上新里,Shangxin Vil.
上楓里,Shangfeng Vil.
上溪里,Shangxi Vil.
上福村,Shangfu Vil.
上寮里,Shangliao Vil.
上寮巷,Shangliao Ln.
上德里,Shangde Vil.
上樹村,Shangshu Vil.
上興里,Shangxing Vil.
上館里,Shangguan Vil.
上豐村,Shangfeng Vil.
下山村,Xiashan Vil.
下中里,Xiazhong Vil.
下田里,Xiatian Vil.
下宅巷,Xiazhai Ln.
下庄巷,Xiazhuang Ln.
